,RegionName,StateName,PurchasePrice,RentPrice,County,RiskScore,RiskRating
328,Saginaw County,MI,172073.5515845963,964.5325396825396,Saginaw,79.03277123767101,Relatively Low
329,Outagamie County,WI,333838.41724406794,1426.4884615384617,Outagamie,70.31498568246897,Relatively Low
330,Sarpy County,NE,353785.8084143992,1497.9232476905918,Sarpy,88.16417435571108,Relatively Moderate
331,Ellis County,TX,376993.2090782467,1989.5568678535244,Ellis,76.71014953865733,Relatively Low
332,Tippecanoe County,IN,295483.4736179362,1495.618776167472,Tippecanoe,78.33280305440663,Relatively Low
333,Beaufort County,SC,545774.1394360253,2370.251449275362,Beaufort,98.3455297486478,Relatively High
334,Litchfield County,CT,420885.77080181456,2118.5892255892254,Litchfield,82.50079541839008,Relatively Low
335,Charlotte County,FL,313691.071709787,2019.8896269118304,Charlotte,96.5956092904868,Relatively High
336,Santa Rosa County,FL,350499.4865368416,2079.356712962963,Santa Rosa,95.51384027998729,Relatively High
337,Iredell County,NC,387768.06827803375,1828.75710732054,Iredell,76.13744829780464,Relatively Low
338,DeSoto County,MS,301610.37963907,1739.405455340763,DeSoto,90.83678014635697,Relatively Moderate
339,Cass County,ND,334828.3437782892,1190.846590909091,Cass,90.8685968819599,Relatively Moderate
340,Peoria County,IL,155953.32829357134,1244.248695652174,Peoria,85.01431753102133,Relatively Moderate
341,Boone County,MO,323466.1305928146,1346.3502556471306,Boone,86.82787146038817,Relatively Moderate
342,Kanawha County,WV,150623.09464794956,1136.5982905982903,Kanawha,79.57365574292076,Relatively Low
343,Shasta County,CA,376647.50420317583,1737.799990877577,Shasta,95.2911231307668,Relatively Moderate
344,Ulster County,NY,431897.73165398015,2012.9666666666665,Ulster,82.18262806236078,Relatively Low
345,Medina County,OH,344596.30506997573,1803.8824074074075,Medina,61.151765828825965,Relatively Low
346,Bay County,FL,346921.6848391242,1823.287685883768,Bay,97.48647788736876,Relatively High
347,Kent County,DE,367825.36818673246,1704.0248366013072,Kent,84.7597836461979,Relatively Moderate
348,Imperial County,CA,367397.2396548169,1982.2222222222224,Imperial,98.05917912822144,Relatively High
349,Vanderburgh County,IN,195648.60658741035,1045.8036796536796,Vanderburgh,90.13681196309257,Relatively Moderate
350,Shawnee County,KS,210114.56421364477,1195.80958781362,Shawnee,80.36907413299396,Relatively Low
351,Licking County,OH,335661.7656224724,1912.111965811966,Licking,64.77887368755965,Relatively Low
352,Johnson County,TX,344699.9004637035,1830.8086419753088,Johnson,90.10499522748964,Relatively Moderate
353,Washington County,UT,536097.4470188943,1863.3982983550768,Washington,95.70474069360483,Relatively High
354,Muskegon County,MI,243964.62101597688,1183.710826210826,Muskegon,60.51543111676742,Relatively Low
355,Scott County,IA,240226.3905361521,1070.7020202020203,Scott,82.05536111994908,Relatively Low
356,Porter County,IN,327724.929336875,1548.5489130434785,Porter,80.24180719058225,Relatively Low
357,Lee County,AL,337077.6392123028,1852.0333333333333,Lee,70.8240534521158,Relatively Low
358,Carroll County,MD,497392.76507755247,1945.885185185185,Carroll,62.965319758192805,Relatively Low
359,Hendricks County,IN,343124.32897639315,1872.7841269841272,Hendricks,70.12408526885142,Relatively Low
360,McLean County,IL,253887.91952049136,1489.569975845411,McLean,81.06904231625836,Relatively Low
361,Winnebago County,WI,296476.25738418684,1202.4547008547008,Winnebago,78.23735284759783,Relatively Low
362,Pitt County,NC,244591.78975110708,1539.6557959168847,Pitt,94.24117085587021,Relatively Moderate
363,Guadalupe County,TX,310647.5471793827,1827.677903061624,Guadalupe,90.20044543429843,Relatively Moderate
364,Kent County,RI,427452.7401814086,2248.882205882353,Kent,74.67387846007,Relatively Low
365,Alamance County,NC,293552.20140771195,1550.1653968253968,Alamance,74.4511613108495,Relatively Low
366,Kenosha County,WI,319461.3321914938,1576.4037581699347,Kenosha,78.39643652561246,Relatively Low
367,Wyandotte County,KS,206762.514951692,1344.2993781412383,Wyandotte,87.17785555202035,Relatively Moderate
368,Kootenai County,ID,589250.6603975003,1901.8403812296856,Kootenai,61.31084950684061,Relatively Low
369,Kenton County,KY,277332.70311915554,1600.20193001443,Kenton,73.81482659879094,Relatively Low
370,Beaver County,PA,191566.38297496448,1201.029239766082,Beaver,57.39739102768056,Relatively Low
371,Monroe County,PA,314707.1974351948,1948.657407407408,Monroe,80.87814190264078,Relatively Low
372,Aiken County,SC,226325.3267950835,1545.615768799102,Aiken,83.70983137130129,Relatively Moderate
373,Davidson County,NC,265745.6876472979,1731.060606060606,Davidson,75.91473114858414,Relatively Low
374,Pueblo County,CO,296130.7560088251,1360.0547619047618,Pueblo,79.79637289214126,Relatively Low
375,Chittenden County,VT,528439.6598133822,2179.3162768031184,Chittenden,39.10276805599746,Very Low
376,Greene County,OH,296666.80415811954,1688.667676767677,Greene,64.20617244670697,Relatively Low
377,Midland County,TX,328605.34786768234,1706.5222312409812,Midland,88.38689150493158,Relatively Moderate
378,Paulding County,GA,348315.97917270404,2046.1759259259256,Paulding,71.30130448615972,Relatively Low
379,Charles County,MD,457464.2431758051,2460.5444444444443,Charles,73.21030862233535,Relatively Low
380,Maui County,HI,1039037.3502887742,3456.092000835422,Maui,87.68692332166718,Relatively Moderate
381,Middlesex County,CT,445888.8835073295,2027.256497725796,Middlesex,78.36461979000956,Relatively Low
382,Yellowstone County,MT,399126.74528885976,1453.5132936507937,Yellowstone,59.11549475023863,Relatively Low
383,Rock County,WI,287196.1980571684,1243.8333333333333,Rock,81.2599427298759,Relatively Low
384,Portage County,OH,272596.713914558,1610.3519813519813,Portage,52.7521476296532,Relatively Low
385,Hampshire County,MA,442221.1618833589,2231.136752136752,Hampshire,63.37893732103086,Relatively Low
386,Ector County,TX,248209.6574755729,1565.169690860215,Ector,84.8552338530067,Relatively Moderate
387,Houston County,GA,249948.45106774408,1631.4285130718954,Houston,71.07858733693922,Relatively Low
388,Dorchester County,SC,352202.37691649847,1773.0160937612957,Dorchester,97.2955774737512,Relatively High
389,Rensselaer County,NY,313272.5642594387,1563.47531708058,Rensselaer,68.43779828189628,Relatively Low
390,Olmsted County,MN,348016.08819055965,1741.9016328939604,Olmsted,80.4327076041998,Relatively Low
391,Jackson County,MI,221936.77472213077,1013.9861111111112,Jackson,73.94209354120265,Relatively Low
392,Johnson County,IN,310276.0970523315,1783.8653846153848,Johnson,81.73719376391982,Relatively Low
393,Catawba County,NC,289286.91336615063,1604.711111111111,Catawba,77.72828507795101,Relatively Low
394,Centre County,PA,348885.45046300185,1817.3707664884132,Centre,36.55742920776328,Very Low
395,Indian River County,FL,369224.781452974,2275.876915708812,Indian River,97.07286032453072,Relatively High
396,Martin County,FL,449084.1612895715,2492.1353446469725,Martin,96.53197581928094,Relatively High
397,Sullivan County,TN,257972.6416655921,1506.7447552447554,Sullivan,50.07954183900731,Relatively Low
398,Stearns County,MN,320877.3224453673,1361.1105006105006,Stearns,81.10085905186128,Relatively Low
399,Fairfield County,OH,361813.4126312612,1964.0091575091571,Fairfield,53.579382755329306,Relatively Low
400,Schenectady County,NY,296690.0418634873,1409.8893698893698,Schenectady,53.96118358256443,Relatively Low
401,Bibb County,GA,168157.78348182258,1240.9394597026176,Bibb,76.42379891823097,Relatively Low
402,Madera County,CA,425227.7940655288,2260.010582010582,Madera,94.65478841870824,Relatively Moderate
403,Comal County,TX,445180.0153625432,1712.11737248259,Comal,90.35952911231307,Relatively Moderate
404,Rankin County,MS,263278.00065312,1640.0527594658554,Rankin,85.39611835825644,Relatively Moderate
405,Franklin County,PA,281762.55293449096,1211.309523809524,Franklin,70.02863506204264,Relatively Low
406,Cumberland County,NJ,270672.4506289545,1788.0,Cumberland,91.82309895004771,Relatively Moderate
407,Mesa County,CO,429912.7598331021,1760.4166666666667,Mesa,47.34330257715558,Very Low
408,Columbia County,GA,329778.2162670248,1867.0898345153664,Columbia,76.4556156538339,Relatively Low
409,Berrien County,MI,268852.7265815184,1638.585858585859,Berrien,66.84696150174993,Relatively Low
410,Stafford County,VA,542273.6759750635,2437.2653560785743,Stafford,73.05122494432071,Relatively Low
411,Monroe County,MI,262440.77300055925,1247.6,Monroe,72.73305758829144,Relatively Low
412,Washington County,MD,330090.1216678324,1425.227777777778,Washington,69.61501749920457,Relatively Low
413,Santa Fe County,NM,561560.4586013675,2008.6900406504064,Santa Fe,81.19630925867007,Relatively Low
414,Merrimack County,NH,485673.3938675006,2128.398148148148,Merrimack,74.38752783964365,Relatively Low
415,Penobscot County,ME,276522.9848943233,1494.0371572871572,Penobscot,73.36939230034999,Relatively Low
416,Citrus County,FL,278316.86760120746,1739.517309797482,Citrus,95.8956411072224,Relatively High
417,Kings County,CA,358186.404894626,1942.1959706959708,Kings,91.05949729557747,Relatively Moderate
418,Johnson County,IA,306888.85527233226,1347.9139294725107,Johnson,93.19121858097358,Relatively Moderate
419,Canadian County,OK,271432.1080569463,1649.1061527125355,Canadian,87.78237352847597,Relatively Moderate
420,Tolland County,CT,396117.31824085646,1852.3593073593076,Tolland,67.06967865097042,Relatively Low
421,Scott County,MN,448760.67137036985,1923.2444444444443,Scott,83.04167992363982,Relatively Moderate
422,Sandoval County,NM,373361.19506052375,1963.5516414141412,Sandoval,78.93732103086222,Relatively Low
423,Orange County,NC,518445.94632023067,1758.8268115942028,Orange,72.95577473751193,Relatively Low
424,Rowan County,NC,274221.9023314852,1433.9678362573095,Rowan,72.92395800190899,Relatively Low
425,Sussex County,NJ,443662.4222149604,2362.8869047619046,Sussex,70.18771874005726,Relatively Low
426,Coweta County,GA,396903.1239227815,1844.6449074074076,Coweta,67.6423798918231,Relatively Low
427,Coconino County,AZ,636294.3623992194,2337.5664614683083,Coconino,90.23226216990136,Relatively Moderate
428,Parker County,TX,450906.8321792731,1651.6112537441163,Parker,87.90964047088768,Relatively Moderate
429,Wilson County,TN,505294.4084517599,2019.2759259259255,Wilson,79.70092268533249,Relatively Low
430,Rock Island County,IL,157875.06692412807,1032.4112554112553,Rock Island,72.25580655424754,Relatively Low
431,Randolph County,NC,243059.58568663988,1145.822222222222,Randolph,75.8510976773783,Relatively Low
432,Douglas County,GA,310590.3590102228,1935.9619520264685,Douglas,75.08749602290804,Relatively Low
433,Schuylkill County,PA,158229.9234298344,1130.6984126984128,Schuylkill,62.3608017817372,Relatively Low
434,Jackson County,MS,212573.6837922312,1528.7022222222222,Jackson,95.99109131403118,Relatively High
435,Lebanon County,PA,307479.0091478851,1436.3277777777778,Lebanon,72.63760738148265,Relatively Low
436,Taylor County,TX,206648.17151804897,1532.1231090639078,Taylor,84.12344893413936,Relatively Moderate
437,Monroe County,IN,315132.4758693487,1453.6981912144704,Monroe,68.08781419026408,Relatively Low
438,Kaufman County,TX,312994.4828596644,1980.1983685194348,Kaufman,76.83741648106904,Relatively Low
439,Wright County,MN,394500.4534372099,1903.2794289044289,Wright,79.92363983455297,Relatively Low
440,Randall County,TX,253980.18014983585,1571.0773713672268,Randall,89.94591154947504,Relatively Moderate
441,Napa County,CA,902801.359673467,3007.9192444219066,Napa,97.67737830098633,Relatively High
442,Spotsylvania County,VA,450387.2284539104,2007.986415882968,Spotsylvania,55.64747056951956,Relatively Low
443,Marathon County,WI,268349.11042731995,1017.2934472934472,Marathon,61.565383391664014,Relatively Low
444,Florence County,SC,200082.5287470748,1504.9360269360268,Florence,93.0957683741648,Relatively Moderate
445,Humboldt County,CA,437333.5167848478,1729.2242942242945,Humboldt,97.00922685332483,Relatively High
446,Washington County,WI,417154.6986323876,1399.388888888889,Washington,71.26948775055679,Relatively Low
447,Clark County,OH,197750.48288917867,1148.5555555555557,Clark,59.46547884187082,Relatively Low
448,Boone County,KY,334840.53720140195,1807.34561965812,Boone,75.1511294941139,Relatively Low
449,Calhoun County,MI,184756.4368080448,1238.2083333333333,Calhoun,72.5739739102768,Relatively Low
450,Grayson County,TX,302349.375970249,1636.751968636312,Grayson,83.48711422208082,Relatively Moderate
451,Cambria County,PA,122703.6383557765,860.6666666666666,Cambria,52.21126312440344,Relatively Low
452,Blount County,TN,387697.0665565736,1913.6319444444448,Blount,67.00604517976456,Relatively Low
453,Brunswick County,NC,412465.9424786485,1774.1361861861865,Brunswick,97.04104358892778,Relatively High
